Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW2,2,UNID,Metapodial,0.4,3,NA,N,N,HVV,,9-Jul-12
A,SW2,2,UNID,Scapula,1.4,7,NA,N,N,HVV,,9-Jul-12
A,SW2,2,UNID,Tibia,0.3,3,NA,N,N,HVV,,9-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW2,3,UNID,Unknown,1.2,4,NA,N,N,HVV,,9-Jul-12
A,SW2,3,UNID,A. Vertebra,0,1,NA,N,N,HVV,,9-Jul-12
A,SW2,3,UNID,Cd. Vertebra,0,1,NA,N,N,HVV,,9-Jul-12
A,SW2,3,UNID,Vertebra,0,1,NA,N,N,HVV,,9-Jul-12
A,SW2,3,Chelonians ,Carapace,0.9,1,NA,N,N,HVV,,9-Jul-12
A,SW2,3,UNID,Humerus,0.4,1,NA,N,N,HVV,,9-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW3,5,Macaque sp.,Ulna,1.1,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Radius,0.6,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Humerus,9,7,NA,N,N,HVV,,9-Jul-12
A,SW3,5,Chelonians ,Carapace,21.4,13,NA,N,N,HVV,,9-Jul-12
A,SW3,5,Chelonians ,Carapace,0.4,1,NA,B,N,HVV,,9-Jul-12
A,SW3,5,UNID,Mandible,0,1,NA,N,N,HVV,Carnivore,9-Jul-12
A,SW3,5,Selenodont,Mandible,0.5,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Mandible,1.2,3,NA,N,N,HVV,,9-Jul-12
A,SW3,5,Macaque sp.,Canine,0,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,Macaque sp.,Molar,1,2,NA,N,N,HVV,M3,9-Jul-12
A,SW3,5,UNID,Skull Fragment ,6.9,14,NA,N,N,HVV,,9-Jul-12
A,SW3,5,Macaque sp.,Clavicle,1.1,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Scapula,2.9,3,NA,N,CM,HVV,,9-Jul-12
A,SW3,5,UNID,Glenoid Fossa,0,1,NA,N,N,HVV,Scapula,9-Jul-12
A,SW3,5,UNID,Ilium,0.5,1,NA,N,N,HVV,Innominate,9-Jul-12
A,SW3,5,UNID,C. Vertebra,0.6,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,Varanus sp.,Vertebra,2.1,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Cd. Vertebra,0.4,1,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Cd. Vertebra,0.4,1,NA,N,CM,HVV,,9-Jul-12
A,SW3,5,UNID,Rib,4.4,10,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Tibia,3.9,6,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Femur,9.6,10,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Femur,5.6,1,NA,N,CM,HVV,Percussion,9-Jul-12
A,SW3,5,UNID,Metapodial,6.9,12,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Navicular,0.7,1,NA,N,N,HVV,Carpal,9-Jul-12
A,SW3,5,UNID,Phalanx,2,8,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Unknown,0.6,2,NA,N,CM,HVV,,9-Jul-12
A,SW3,5,UNID,Unknown,8.1,13,NA,N,N,HVV,,9-Jul-12
A,SW3,5,UNID,Unknown,2.5,1,NA,B,N,HVV,,9-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW4,5,Rodentia,Incisor,3.4,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Unknown,9.6,27,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Femur,2.1,2,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Skull Fragment ,0,2,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Calcaneus,0,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Cd. Vertebra,1.5,3,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Clavicle,0.3,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,3 Phalanx,0,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,Chelonians ,Carapace,11.9,21,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Femur,0.3,1,NA,B,N,HVV,,9-Jul-12
A,SW4,5,Primate,Molar,0.4,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Ulna,2.2,2,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Tibia,3.1,1,NA,N,CM,HVV,,9-Jul-12
A,SW4,5,UNID,Rib,0.6,5,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,2 Phalanx,1.3,2,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Ischium,0,1,NA,N,N,HVV,Innominate,9-Jul-12
A,SW4,5,UNID,Tibia,2.5,3,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Scapula,0.4,1,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Humerus,1.3,3,NA,N,N,HVV,,9-Jul-12
A,SW4,5,UNID,Mandible,2.2,1,NA,N,N,HVV,"Teeth attached; M3, M2, M1, P, and I1",9-Jul-12
A,SW4,5,UNID,Phalanx,0.6,2,NA,N,N,HVV,,9-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW4,7,Chelonians ,Femur,1,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Femur,1.8,2,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Rib,0.5,5,NA,N,N,HVV,,13-Jul-12
A,SW4,7,Varanus sp.,Skull Fragment ,0.8,1,NA,N,N,HVV,,13-Jul-12
A,SW4,7,UNID,Humerus,0.5,1,NA,N,CM,HVV,,13-Jul-12
A,SW4,7,UNID,Tibia,1.5,1,NA,N,N,HVV,,13-Jul-12
