Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW13,19,UNID,Rib,2.7,3,NA,N,N,HVV,,25-Jul-12
A,SW13,19,Prebytis phayarei,Phalanx,0.4,1,NA,N,N,HVV,,25-Jul-12
A,SW13,19,Chelonians ,Vertebra,0.4,1,NA,N,N,HVV,,25-Jul-12
A,SW13,19,UNID,Unknown,21.2,18,NA,N,N,HVV,,25-Jul-12
A,SW13,19,UNID,Unknown,8.9,4,NA,B ,N,HVV,,25-Jul-12
A,SW13,19,Cervus unicolor,Humerus,27.9,1,NA,N,N,HVV,,25-Jul-12
A,SW13,19,Chelonians ,Carapace,19.4,7,NA,N,N,HVV,,25-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW14,19,UNID,Scapula,5.1,1,NA,N,N,CC,,25-Jul-12
A,SW14,19,UNID,Vertebra,1.7,5,NA,N,N,CC,,25-Jul-12
A,SW14,19,UNID,Humerus,1.1,1,NA,N,N,CC,,25-Jul-12
A,SW14,19,UNID,Femur,1.2,2,NA,N,N,CC,,25-Jul-12
A,SW14,19,UNID,Unknown,9.4,14,NA,N,N,CC,,25-Jul-12
A,SW14,19,,,2.6,1,NA,N,N,CC,,25-Jul-12
A,SW14,19,Chelonians,Carapace,2.1,1,NA,N,N,CC,,25-Jul-12
A,SW14,19,Chelonians,Humerus,3.1,1,NA,N,N,CC,,25-Jul-12
A,SW14,19,Muntincus muntjak,Molar,2.9,1,NA,N,N,CC,,25-Jul-12
A,SW14,19,Varanus sp.,Vertebra,0.7,1,NA,N,N,CC,,25-Jul-12
A,SW14,19,UNID,Femur,1.5,1,NA,B,N,CC,,25-Jul-12
A,SW14,19,UNID,Radius,0.8,1,NA,B,N,CC,,25-Jul-12
A,SW14,19,Chelonians,Carapace,0.5,1,NA,B,N,CC,,25-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW15,19,UNID,Vertebra,0.4,1,NA,N,N,CC,,25-Jul-12
A,SW15,19,UNID,Unknown,18.3,10,NA,N,N,CC,,25-Jul-12
A,SW15,19,Varanus sp.,Vertebra,2.1,1,NA,N,N,CC,,25-Jul-12
A,SW15,19,Muntincus muntjak,Premolar,2.2,1,NA,N,N,CC,,25-Jul-12
A,SW15,19,Chelonians,Carapace,0.9,1,NA,B,N,CC,,25-Jul-12
A,SW15,19,Macaque sp.,Navicular,0.8,1,NA,B,N,CC,,25-Jul-12
A,SW15,19,UNID,Unknown,4.7,7,NA,B,N,CC,,25-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW16,21,UNID,Unknown,3.7,7,NA,N,N,CC,,25-Jul-12
A,SW16,21,Chelonians,Carapace,23.1,13,NA,N,N,CC,,25-Jul-12
A,SW16,21,Chelonians,Femur,2.1,1,NA,N,N,CC,,25-Jul-12
A,SW16,21,Varanus sp.,Vertebra,1.4,1,NA,N,N,CC,,25-Jul-12
A,SW16,21,Chelonians,Carapace,1.5,4,NA,B,N,CC,,25-Jul-12
A,SW16,21,UNID,Unknown,1.7,2,NA,B,N,CC,,25-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW16,22,UNID,Tibia,5.4,1,NA,N,N,CC,,25-Jul-12
A,SW16,22,UNID,Unknown,5.6,6,NA,N,N,CC,,25-Jul-12
A,SW16,22,Primate,Phalanx,0.4,1,NA,N,N,CC,,25-Jul-12
A,SW16,22,UNID,Unknown,4,3,NA,B,N,CC,,25-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,L/W,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
