Sample ID,A/S Loc,Date,Time,Initial Sample Wt,Initial Sample Vol,Aliquot Vol.,Diluted To Vol.,Analyst Name,Remarks,Batch ID,Sample Type,Samp Number,Wt Units,Vol Units,Solids Ratio,Sample Prep Vol.,Nominal Wt.,Sample Units,Samp Units Fact.,User Name 1,User Value 1,User Name 2,User Value 2,User Name 3,User Value 3,User Name 4,User Value 4,User Name 5,User Value 5,Result Name,Analyte Name,Date,Time,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,View,Original Data,Tech,Special Sample Category,Special Calculated Value,Corr Coef,Read Delay,Read Time,Int Time,QC Recovery,Repl No1,Date1,Time1,Int (Net)1,Int (Corr)1,Conc (Calib)1,Conc (Samp)1
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ni 231.604,2/22/2012,9:33:51 AM,Ni,231.604,-307.9318945, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,-307.9318945,-307.9318945, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,P 213.617,2/22/2012,9:33:51 AM,P,213.617,92.26563521, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,92.26563521,92.26563521, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,K 766.490,2/22/2012,9:33:45 AM,K,766.49,5359.143393, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,5359.143393,5359.143393, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Sc 361.383,2/22/2012,9:33:45 AM,Sc,361.383,-102.6397176, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,-102.6397176,-102.6397176, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Se 196.026,2/22/2012,9:33:51 AM,Se,196.026,-28.367786, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,-28.367786,-28.367786, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Na 589.592,2/22/2012,9:33:45 AM,Na,589.592,8902.271375, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,8902.271375,8902.271375, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Sr 407.771,2/22/2012,9:33:45 AM,Sr,407.771,1248.9579, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,1248.9579,1248.9579, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Te 214.281,2/22/2012,9:33:51 AM,Te,214.281,-525.6763225, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,-525.6763225,-525.6763225, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ti 334.940,2/22/2012,9:33:45 AM,Ti,334.94,10.36060425, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,10.36060425,10.36060425, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Y 371.029,2/22/2012,9:33:45 AM,Y,371.029,-178.2614895, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,-178.2614895,-178.2614895, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Zn 206.200,2/22/2012,9:33:51 AM,Zn,206.2,241.260238, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,241.260238,241.260238, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Bi 223.061,2/22/2012,9:33:51 AM,Bi,223.061,-128.2801717, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,-128.2801717,-128.2801717, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ce 413.764,2/22/2012,9:33:45 AM,Ce,413.764,173.2972446, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,173.2972446,173.2972446, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Co 228.616,2/22/2012,9:33:51 AM,Co,228.616,-239.3253177, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,-239.3253177,-239.3253177, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ga 417.206,2/22/2012,9:33:45 AM,Ga,417.206,-1084.570088, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,-1084.570088,-1084.570088, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,In 230.606,2/22/2012,9:33:51 AM,In,230.606,128.1831797, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,128.1831797,128.1831797, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Rb 780.023,2/22/2012,9:33:45 AM,Rb,780.023,-102106.3364, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,-102106.3364,-102106.3364, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ag 328.068,2/22/2012,9:33:45 AM,Ag,328.068,-272.3556572, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,-272.3556572,-272.3556572, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Tl 190.801,2/22/2012,9:33:51 AM,Tl,190.801,-50.61492895, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,-50.61492895,-50.61492895, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,U 385.958,2/22/2012,9:33:45 AM,U,385.958,3182.793707, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:33:45 AM,3182.793707,3182.793707, , 
Calib Blank 1,0,2/22/2012,9:32:42 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,V 290.880,2/22/2012,9:33:51 AM,V,290.88,2247.757373, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:33:51 AM,2247.757373,2247.757373, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Al 396.153,2/22/2012,9:36:48 AM,Al,396.153,14066.2321, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,14066.2321,14066.2321, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,As 188.979,2/22/2012,9:36:53 AM,As,188.979,-46.40956194, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,-46.40956194,-46.40956194, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Ba 233.527,2/22/2012,9:36:53 AM,Ba,233.527,373.4033126, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,373.4033126,373.4033126, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,Be 313.107,2/22/2012,9:36:48 AM,Be,313.107,-4143.900854, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,1,0.2, ,1,2/22/2012,9:36:48 AM,-4143.900854,-4143.900854, , 
Calib Blank 1,1,2/22/2012,9:35:37 AM, , , , , , , ,101,0,g,mL, , , , , , , , , , , , , , , ,Geoarch_WI_12,B 249.677,2/22/2012,9:36:53 AM,B,249.677,2556.904051, , , , ,[0.00], , , , ,mg/L,mg/L,1,Yes,20, , , ,60,5,5, ,1,2/22/2012,9:36:53 AM,2556.904051,2556.904051, , 
