Raw measurement data for the geoarchaeological analysis of samples from KTC11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
also at https://docs.google.com/spreadsheets/d/1_a20envyJUBA69NfSyLu0JniVUxnyKzAePUwQFrkS64/edit?pref=2&pli=1#gid=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pH,Replicate 1 (you need to do this for all of your samples),,,,,,,Replicate 2 (only needed for one of your samples),,,,,,,Replicate 3 (only needed for one of your samples),,,,,,,,,,,,,,,,,,,
Sample ID,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,mean pH,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,measurement 1,minutes from t0,measurement 2,minutes from t0,measurement 3,minutes from t0,pH ,,,,,Sample ID,pH,EC,SOM,CaCO3,Xlf,%fd,,
KTC-A-6,8.1189,8.2267,7.7647,11.7453,12.3283,11.5904,11.6131,12.1881,11.4542,11.2405,11.7669,11.0449,3.645488639,3.418178272,3.560132786,3.541266566,0.09375305,10.27465255,10.26916325,10.69869566,10.41417049,0.201202161,,,,,,,,,,,,
KTC-A-7-up,8.3088,8.2323,7.2541,12.522,12.1181,10.9111,12.3831,11.9831,10.7851,11.8706,11.5512,10.3828,3.296781544,3.474188069,3.445447088,3.405472234,0.077746428,12.16415076,11.11482835,11.00082034,11.42659982,0.52360004,,,,,,,,,,,,
KTC-A-7-lo,8.2928,8.4775,7.9991,12.044,13.1767,11.33805,11.9424,13.05445,11.24585,11.50455,12.4963,10.8566,2.708466624,2.601506639,2.76134713,2.690440131,0.066487901,11.67226488,11.87755363,11.65785651,11.73589167,0.100342687,,,,,,,,,,,,
KTC-A-8,8.519,7.9256,7.8651,12.10135,12.3109,11.6156,11.9772,12.1601,11.4683,11.6622,11.7807,11.1579,3.465602189,3.438761316,3.927476336,3.61061328,0.224323807,8.793110668,8.651631587,8.276229836,8.573657364,0.218100028,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic Susceptibility,mass of sediment (excluding sample pot),LF replicate 1,LF replicate 2,LF replicate 3,HF replicate 1,HF replicate 2,HF replicate 3,LF mean,HF mean,Mass Susceptibility (XLF) = LF mean x (10/sample mass),Mass Susceptibility (XHF) = HF mean x (10/sample mass),Percentage frequency dependency = ((ΧLF - ΧHF) / ΧLF) x 100,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-B-1,7.0433,49,50,49,46,48,57,49.33333333,50.33333333,70.04292495,10.27210884,85.33455185,,,,,,,,,,,,,,,,,,,,,,
KTC-A-2,7.2007,113,114,113,102,102,102,113.3333333,102,157.3921054,9.026548673,94.2649292,,,,,,,,,,,,,,,,,,,,,,
KTC-A-3,6.5175,107,107,107,96,96,96,107,96,164.1733794,8.971962617,94.53506856,,,,,,,,,,,,,,,,,,,,,,
KTC-A-4,7.2305,131,133,132,121,122,130,132,124.3333333,182.5599889,9.491094148,94.80110938,,,,,,,,,,,,,,,,,,,,,,
KTC-A-5,6.392,198,197,197,196,197,197,197.3333333,196.6666667,308.7192324,9.932659933,96.78262353,,,,,,,,,,,,,,,,,,,,,,
KTC-A-6,4.786,142,142,142,148,148,148,142,148,296.6987046,10.42253521,96.48716524,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-up,6.7087,149,149,148,136,146,147,148.6666667,143,221.6027944,9.597315436,95.66913609,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-lo,7.3066,149,149,149,134,134,134,149,134,203.9252183,8.993288591,95.58990856,,,,,,,,,,,,,,,,,,,,,,
KTC-A-8,5.424,106,106,106,117,117,117,106,117,195.4277286,11.03773585,94.35201139,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colour,"Munsell hue, value
and chroma (dry)",wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-B-1,10YR 4/4 Dark Yellowish Brown,10YR 3/6 Dark Yellowish Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-2,"2.5YR, 3, 2.5 (Dusky Red)","5YR, 4, 3 (Reddish brown)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-3,"2.5YR, 2.5, 2 (Very dusky red)","7.5YR, 3, 2 (Dark brown)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-4,10YR 3/4 Dark Yellowish Brown,10YR 3/4 Dark Yellowish Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-5,7.5YR 4/4,7.5YR 4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-6,7.5YR 4/4,7.5YR 4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-up,10YR 3/6 Dark Yellowish Brown,10YR 3/6 Dark Yellowish Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-lo,"5YR, 4, 3 (Reddish brown)","7.5 YR, 4, 6 (Strong brown)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-8,7.5YR 4/3,7.5YR4/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mass of sample used for ICP-AES,mass (g),replicant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-B-1,0.8126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-2,0.7762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-3,0.7895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-4,0.6761,0.5056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-5,0.5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-6,0.6811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-up,0.5722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-lo,0.7793,0.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-8,0.6561,0.5389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineral names identified by XRD,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,mineral name,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-B-1,Quartz,,,,,,,,,,,,,,Silicon Oxide,Barium Boride,Nickel Oxonium Phosphate Hydrogen Fluoride Hydrate,Quartz,,,,,,,,,,,,,,,,
KTC-A-2,Quartz,Calcite,,,,,,,,,,,,,Quartz,Calcite,Chlorite,Kaolinite,,,,,,,,,,,,,,,,
KTC-A-3,Quartz,Calcite,Kaolinite,Goethite,,,,,,,,,,,Quartz,Calcite,Kaolinite,Dickite,Euclase,Tetrahedrite,Nepheline,Geothite,Franklinite,,,,,,,,,,,
KTC-A-4,Quartz,,,,,,,,,,,,,,Silicon Oxide,Quartz,Pyrochroite,Sodium Silicate,Zinc Cadmium Sulfide,Calcite,Barium Indium Oxide,Barium Silicon,Barium Boride,Calcium Arsenide Oxide,Cobalt Gallium Sulfide,Zincoboracite,,,,,,,,
KTC-A-5,Quartz,Calcite,Mimetite,Magnesium Calcite,Kaolinite,,,,,,,,,,Quartz,Vermiculite,Calcite,Magnesium Calcite,Kaolinite,Colomite,Chlorite,Nitratine,,,,,,,,,,,,
KTC-A-6,Quartz,Kaolinite,,,,,,,,,,,,,Quartz,Vermiculite,Calcite,Bromargyrite,Dickite,Kaolinite,Chlorite,Amesite,Magnesium Calcite,,,,,,,,,,,
KTC-A-7-up,Quartz,,,,,,,,,,,,,,Silicon Oxide,Pyrochroite,,,,,,,,,,,,,,,,,,
KTC-A-7-lo,Quartz,Calcite,Mimetite,Kaolinite,Andalusite,,,,,,,,,,Quartz,Kaolinite,Clinochlore,Chlorite,Faujasite,Calcite,Nitratine,Magnesium Calcite,Dickite,,,,,,,,,,,
KTC-A-8,Quartz,,,,,,,,,,,,,,Quartz,Kaolinite,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic particle size descriptive statistics,Texture (or verbal description),Arithmetic Mean (μm),Arithmetic Standard Deviation (μm),Mode (μm),Arithmetic Skewness,Arithmetic Kurtosis,% sand,% silt,% clay,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-B-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-7-lo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTC-A-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
