Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES,Date
A,SW7,14,F. Neritidae Balteata sp. ,Gastropod,4.6,1,25.8,N,N,CC,F-100-0201 B-100-0202/100-0203 S-100-0204,11-Jul-12
A,SW7,14,F. Cyclophoridae Plectopylis degerbolae,Gastropod,1,1,21.1,N,N,CC,F-100-0195 B-100-0197,11-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW8,14,F. Cyclophoridae Cyclophorus malaynus,Gastropod,29.7,9,NA,N,N,HVV,,12-Jul-12
A,SW8,14,F. Potamididae,Gastropod,32.1,23,NA,N,N,HVV,,12-Jul-12
A,SW8,14,Unknown,Bivalve,58,88,NA,N,N,HVV,,12-Jul-12
A,SW8,14,F. Amblemididae ,Bivalve,42.1,19,NA,N,N,HVV,,12-Jul-12
A,SW8,14,Unknown,Gastropod,28,51,NA,N,N,HVV,,12-Jul-12
A,SW8,14,F. Muricidae,Bivalve,1.3,1,NA,N,N,HVV,,12-Jul-12
A,SW8,14,F. Arcidae,Bivalve,0.5,1,NA,N,N,HVV,,12-Jul-12
A,SW8,14,BiB,Bivalve,4,2,NA,N,N,HVV,F-100-0215  B-100-0216,12-Jul-12
A,SW8,14,F. Cyclophoridae Rhiostoma housei,Gastropod,4.9,5,NA,N,N,HVV,,12-Jul-12
A,SW8,14,F. Cyclophoridae Rhiostoma housei,Gastropod,2.3,1,24.97,N,N,HVV,F-100-0210  B-100-0212,12-Jul-12
A,SW8,14,F. Amblemididae ,Bivalve,4.2,1,54.14,N,N,HVV,F-100-0213  B-100-0214,12-Jul-12
Trench ,Unit,Context,Taxon,Element,Mass (g),Count,Max L/W mm,Burnt/Not Burnt,Cutmark/No Cutmark,Recorder,NOTES ,Date
A,SW8,15,Unknown,Gastropod,3.7,16,NA,N,N,HVV,,12-Jul-12
